marca_masina;anul_fabricatiei;pretul;km_parcursi;tip_combustibil;tip_caroserie;tip_cutie_de_viteza
Mazda;2015;11800;195400;Diesel;SUV;Automat?
Jaguar;2018;15450;197000;Diesel;Berlin?;Automat?
Land Rover;2016;15950;189000;Diesel;SUV;Automat?
Renault;2021;15815;76000;Benzin?;SUV;Automat?
BMW;2010;4299;153000;Diesel;Hatchback;Manual?
Skoda;2019;12450;166000;Benzin?;Berlin?;Manual?
BMW;2018;23946;246000;Hibrid;Berlin?;Automat?
Citroen;2018;12950;33000;Benzin?;Hatchback;Automat?
Peugeot;2020;16949;195000;Benzin?;SUV;Automat?
Dacia;2021;10990;11400;Electric;Autovehicul mic;Automat?
Skoda;2020;13749;91600;Diesel;Hatchback;Manual?
Opel;2020;12450;167000;Benzin?;Hatchback;Manual?
Suzuki;2019;13000;56000;Benzin?;SUV;Manual?
Audi;2013;11990;206000;Benzin?;Berlin?;Automat?
Mercedes-Benz;2019;26950;185000;Diesel;Berlin?;Automat?
Porsche;2018;43949;91000;Benzin?;SUV;Automat?
Mazda;2019;15450;166000;Benzin?;Berlin?;Manual?
Volvo;2020;23950;211000;Benzin?;Berlin?;Automat?
Toyota;2019;17989;136000;Hibrid;Hatchback;Automat?
BMW;2019;25449;200000;Benzin?;Berlin?;Automat?
Mercedes-Benz;2020;29989;190000;Diesel;Berlin?;Automat?
BMW;2021;25949;200000;Hibrid;Berlin?;Automat?
Skoda;2020;22990;96700;Diesel;Berlin?;Automat?
Mazda;2015;11800;195400;Diesel;SUV;Automat?
Audi;2012;9000;173800;Benzin?;Hatchback;Manual?
Volvo;2017;12989;198000;Diesel;Hatchback;Automat?
Audi;2019;27450;83000;Diesel;SUV;Automat?
Toyota;2019;13990;129000;Benzin?;Berlin?;Automat?
Skoda;2018;14449;180000;Benzin?;Berlin?;Automat?
BMW;2023;119900;17000;Diesel;Berlin?;Automat?
Skoda;2018;12489;207000;Diesel;Break;Automat?
Volkswagen;2020;44490;88000;Diesel;SUV;Automat?
Audi;2015;16990;235000;Benzin?;Berlin?;Automat?
Mazda;2018;19990;148000;Diesel;SUV;Automat?
Alfa Romeo;2017;26950;109000;Benzin?;SUV;Automat?
Peugeot;2020;15450;192000;Benzin?;SUV;Manual?
Peugeot;2019;16449;165000;Benzin?;SUV;Automat?
BMW;2011;11950;206000;Diesel;Berlin?;Manual?
Audi;2012;10990;193000;Benzin?;Berlin?;Manual?
BMW;2012;13950;234000;Diesel;Berlin?;Automat?
Toyota;2016;16749;124000;Benzin?;Berlin?;Automat? (CVT)
Volvo;2018;23449;144000;Diesel;Berlin?;Automat?
Ford;2020;8950;178000;Diesel;Hatchback;Manual?
BMW;2019;56950;92000;Diesel;SUV;Automat?
Skoda;2021;19451;193000;Diesel;Berlin?;Automat?
Mazda;2017;19990;141000;Diesel;SUV;Automat?
Volkswagen;2021;21950;188900;Diesel;Berlin?;Automat?
Hyundai;2015;16950;229000;Diesel;SUV;Automat?
Audi;2014;13450;210000;Diesel;Berlin?;Automat?
Kia;2012;12000;199000;Diesel;SUV;Automat?
Toyota;2020;16449;75000;Benzin?;Berlin?;Manual?
SsangYong;2024;21000;4000;Benzin?;SUV;Automat?
Peugeot;2020;26950;25000;Benzin?;SUV;Automat?
Volkswagen;2020;15000;22570;Electric;Hatchback;Automat?
Opel;2011;4900;191300;Diesel;Berlin?;Automat?
Opel;2018;11950;136000;Benzin?;Berlin?;Manual?
Mercedes-Benz;2017;25950;148000;Diesel;Berlin?;Automat?
Peugeot;2017;16450;160000;Diesel;SUV;Manual?
Skoda;2018;15950;69900;Diesel;Berlin?;Automat?
Skoda;2019;11950;128000;Benzin?;Berlin?;Manual?
Mazda;2019;14449;205000;Diesel;Berlin?;Manual?
Renault;2018;19950;150000;Diesel;SUV;Automat?
Audi;2011;8450;134000;Benzin?;Berlin?;Manual?
BMW;2019;27450;147000;Diesel;SUV;Automat?
Mercedes-Benz;2020;29989;177000;Benzin?;Berlin?;Automat?
Skoda;2019;15450;183000;Benzin?;SUV;Automat?
Dacia;2019;13749;64000;Benzin?;SUV;Manual?
BMW;2019;57450;131000;Diesel;SUV;Automat?
BMW;2023;84950;26000;Diesel;SUV;Automat?
Audi;2019;17749;208000;Diesel;SUV;Automat?
Dacia;2019;7990;51000;Benzin?;Hatchback;Manual?
Skoda;2019;17449;150000;Diesel;Berlin?;Automat?
BMW;2019;29950;57000;Diesel;Berlin?;Automat?
Mercedes-Benz;2020;59449;140000;Diesel;SUV;Automat?
Dacia;2019;9250;139800;Diesel;Monovolum;Manual?
Dacia;2022;15100;77000;GPL;SUV;Manual?
BMW;2020;62950;109000;Diesel;SUV;Automat?
Renault;2017;21490;127000;Diesel;SUV;Automat?
Mercedes-Benz;2018;33950;136000;Diesel;SUV;Automat?
Audi;2015;16500;106000;Benzin?;Berlin?;Automat?
Opel;2011;4900;191300;Diesel;Berlin?;Automat?
Volkswagen;2020;15000;22570;Electric;Hatchback;Automat?
Skoda;2018;15950;79000;Diesel;Berlin?;Automat?
Audi;2014;12499;259000;Diesel;Berlin?;Automat?
Opel;2019;14449;196600;Benzin?;Berlin?;Automat?
Skoda;2009;2850;309000;Diesel;Hatchback;Manual?
Porsche;2018;60949;86600;Benzin?;SUV;Automat?
Opel;2017;10949;80000;Diesel;Berlin?;Automat?
Mazda;2009;2650;147000;Benzin?;Hatchback;Manual?
Dacia;2019;9450;141900;Diesel;Monovolum;Manual?
Peugeot;2020;17449;185000;Benzin?;SUV;Automat?
Skoda;2020;25949;219000;Diesel;SUV;Automat?
Audi;2012;12950;145000;Benzin?;Berlin?;Automat?
Skoda;2020;16449;92000;Benzin?;Berlin?;Automat?
Renault;2018;15989;157000;Diesel;SUV;Automat?
Seat;2019;11699;149591;Diesel;Break;Automat?
BMW;2018;15450;223000;Benzin?;Berlin?;Automat?
Mercedes-Benz;2015;16990;243000;Diesel;Berlin?;Automat?
Mercedes-Benz;2017;34950;135800;Diesel;SUV;Automat?
Land Rover;2016;19490;147000;Diesel;SUV;Automat?
BMW;2019;26950;138000;Diesel;Berlin?;Automat?
Kia;2016;18250;183000;Diesel;Berlin?;Automat?
Mercedes-Benz;2016;25949;163000;Diesel;Berlin?;Automat?
BMW;2019;54949;73000;Diesel;SUV;Automat?
Skoda;2019;13949;189300;Diesel;Berlin?;Manual?
Dacia;2019;8449;97500;Diesel;Berlin?;Manual?
Mazda;2015;13990;199000;Diesel;SUV;Automat?
Hyundai;2020;19990;121000;Benzin?;SUV;Automat?
Renault;2019;7999;80000;Benzin?;Hatchback;Manual?
Opel;2011;4900;191300;Diesel;Berlin?;Automat?
Peugeot;2020;26950;25000;Benzin?;SUV;Automat?
Audi;2015;16500;106000;Benzin?;Berlin?;Automat?
Renault;2019;11499;191000;Diesel;SUV;Automat?
Volvo;2016;12490;176000;Diesel;Berlin?;Automat?
Volkswagen;2018;43950;150000;Diesel;SUV;Automat?
Skoda;2021;19490;200000;Diesel;Berlin?;Automat?
Opel;2020;16949;76000;Diesel;Berlin?;Automat?
Mercedes-Benz;2017;34450;130000;Diesel;SUV;Automat?
Dacia;2016;5749;239000;Diesel;Berlin?;Manual?
Ford;2018;15950;104000;Diesel;Berlin?;Automat?
Land Rover;2011;13950;199000;Diesel;SUV;Automat?
Volkswagen;2020;17448;145093;Diesel;Hatchback;Automat?
Audi;2016;16990;198000;Benzin?;Berlin?;Automat?
Opel;2017;14448;144000;Diesel;Berlin?;Manual?
Hyundai;2019;11448;80000;Benzin?;Hatchback;Manual?
Ford;2018;7749;125000;Benzin?;Hatchback;Manual?
Mercedes-Benz;2019;24999;114000;Diesel;SUV;Automat?
Renault;2017;13449;207000;Diesel;Monovolum;Manual?
Skoda;2019;20949;218000;Diesel;Berlin?;Automat?
Skoda;2019;12849;150000;Diesel;Berlin?;Manual?
Skoda;2019;13449;138000;Benzin?;Berlin?;Automat?
Dacia;2020;8989;104000;Diesel;Berlin?;Manual?
Dacia;2020;11489;120000;Diesel;Monovolum;Manual?
BMW;2018;42449;160000;Hibrid;Berlin?;Automat?
BMW;2012;12950;174000;Diesel;SUV;Automat?
Mazda;2018;17949;194000;Benzin?;SUV;Automat?
Skoda;2018;13249;98000;Diesel;Berlin?;Manual?
Kia;2019;23450;91000;Diesel;SUV;Automat?
Mercedes-Benz;2018;20950;153000;Diesel;Hatchback;Automat?
Opel;2011;4900;191300;Diesel;Berlin?;Automat?
Volkswagen;2020;15000;22570;Electric;Hatchback;Automat?
Audi;2012;9000;173800;Benzin?;Hatchback;Manual?
Peugeot;2020;26950;25000;Benzin?;SUV;Automat?
Peugeot;2019;14949;140000;Diesel;Monovolum;Manual?
