marca_masina,anul_fabricatiei,pretul,km_parcursi,tip_combustibil,tip_caroserie,tip_cutie_de_viteza
Skoda,2019,12450,166000,Benzină,Berlină,Manuală
BMW,2018,23946,246000,Hibrid,Berlină,Automată
Citroen,2018,12950,33000,Benzină,Hatchback,Automată
Peugeot,2020,16949,195000,Benzină,SUV,Automată
Dacia,2021,10990,11400,Electric,Autovehicul mic,Automată
Skoda,2020,13749,91600,Diesel,Hatchback,Manuală
Opel,2020,12450,167000,Benzină,Hatchback,Manuală
Suzuki,2019,13000,56000,Benzină,SUV,Manuală
Audi,2013,11990,206000,Benzină,Berlină,Automată
Mercedes-Benz,2019,26950,185000,Diesel,Berlină,Automată
Porsche,2018,43949,91000,Benzină,SUV,Automată
Mazda,2019,15450,166000,Benzină,Berlină,Manuală
Volvo,2020,23950,211000,Benzină,Berlină,Automată
Toyota,2019,17989,136000,Hibrid,Hatchback,Automată
BMW,2019,25449,200000,Benzină,Berlină,Automată
Mercedes-Benz,2020,29989,190000,Diesel,Berlină,Automată
BMW,2021,25949,200000,Hibrid,Berlină,Automată
Skoda,2020,22990,96700,Diesel,Berlină,Automată
Mazda,2015,11800,195400,Diesel,SUV,Automată
Audi,2012,9000,173800,Benzină,Hatchback,Manuală
Volvo,2017,12989,198000,Diesel,Hatchback,Automată
Audi,2019,27450,83000,Diesel,SUV,Automată
Toyota,2019,13990,129000,Benzină,Berlină,Automată
Skoda,2018,14449,180000,Benzină,Berlină,Automată
BMW,2023,119900,17000,Diesel,Berlină,Automată
Skoda,2018,12489,207000,Diesel,Break,Automată
Volkswagen,2020,44490,88000,Diesel,SUV,Automată
Audi,2015,16990,235000,Benzină,Berlină,Automată
Mazda,2018,19990,148000,Diesel,SUV,Automată
Alfa Romeo,2017,26950,109000,Benzină,SUV,Automată
Peugeot,2020,15450,192000,Benzină,SUV,Manuală
Peugeot,2019,16449,165000,Benzină,SUV,Automată
BMW,2011,11950,206000,Diesel,Berlină,Manuală
Audi,2012,10990,193000,Benzină,Berlină,Manuală
BMW,2012,13950,234000,Diesel,Berlină,Automată
Toyota,2016,16749,124000,Benzină,Berlină,Automată (CVT)
Volvo,2018,23449,144000,Diesel,Berlină,Automată
Ford,2020,8950,178000,Diesel,Hatchback,Manuală
BMW,2019,56950,92000,Diesel,SUV,Automată
Skoda,2021,19451,193000,Diesel,Berlină,Automată
Mazda,2017,19990,141000,Diesel,SUV,Automată
Volkswagen,2021,21950,188900,Diesel,Berlină,Automată
Hyundai,2015,16950,229000,Diesel,SUV,Automată
Audi,2014,13450,210000,Diesel,Berlină,Automată
Kia,2012,12000,199000,Diesel,SUV,Automată
Toyota,2020,16449,75000,Benzină,Berlină,Manuală
SsangYong,2024,21000,4000,Benzină,SUV,Automată
Peugeot,2020,26950,25000,Benzină,SUV,Automată
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
Opel,2011,4900,191300,Diesel,Berlină,Automată
Opel,2018,11950,136000,Benzină,Berlină,Manuală
Mercedes-Benz,2017,25950,148000,Diesel,Berlină,Automată
Peugeot,2017,16450,160000,Diesel,SUV,Manuală
Skoda,2018,15950,69900,Diesel,Berlină,Automată
Skoda,2019,11950,128000,Benzină,Berlină,Manuală
Mazda,2019,14449,205000,Diesel,Berlină,Manuală
Renault,2018,19950,150000,Diesel,SUV,Automată
Audi,2011,8450,134000,Benzină,Berlină,Manuală
BMW,2019,27450,147000,Diesel,SUV,Automată
Mercedes-Benz,2020,29989,177000,Benzină,Berlină,Automată
Skoda,2019,15450,183000,Benzină,SUV,Automată
Dacia,2019,13749,64000,Benzină,SUV,Manuală
BMW,2019,57450,131000,Diesel,SUV,Automată
BMW,2023,84950,26000,Diesel,SUV,Automată
Audi,2019,17749,208000,Diesel,SUV,Automată
Dacia,2019,7990,51000,Benzină,Hatchback,Manuală
Skoda,2019,17449,150000,Diesel,Berlină,Automată
BMW,2019,29950,57000,Diesel,Berlină,Automată
Mercedes-Benz,2020,59449,140000,Diesel,SUV,Automată
Dacia,2019,9250,139800,Diesel,Monovolum,Manuală
Dacia,2022,15100,77000,GPL,SUV,Manuală
BMW,2020,62950,109000,Diesel,SUV,Automată
Renault,2017,21490,127000,Diesel,SUV,Automată
Mercedes-Benz,2018,33950,136000,Diesel,SUV,Automată
Audi,2015,16500,106000,Benzină,Berlină,Automată
Opel,2011,4900,191300,Diesel,Berlină,Automată
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
Skoda,2018,15950,79000,Diesel,Berlină,Automată
Audi,2014,12499,259000,Diesel,Berlină,Automată
Opel,2019,14449,196600,Benzină,Berlină,Automată
Skoda,2009,2850,309000,Diesel,Hatchback,Manuală
Porsche,2018,60949,86600,Benzină,SUV,Automată
Opel,2017,10949,80000,Diesel,Berlină,Automată
Mazda,2009,2650,147000,Benzină,Hatchback,Manuală
Dacia,2019,9450,141900,Diesel,Monovolum,Manuală
Peugeot,2020,17449,185000,Benzină,SUV,Automată
Skoda,2020,25949,219000,Diesel,SUV,Automată
Audi,2012,12950,145000,Benzină,Berlină,Automată
Skoda,2020,16449,92000,Benzină,Berlină,Automată
Renault,2018,15989,157000,Diesel,SUV,Automată
Seat,2019,11699,149591,Diesel,Break,Automată
BMW,2018,15450,223000,Benzină,Berlină,Automată
Mercedes-Benz,2015,16990,243000,Diesel,Berlină,Automată
Mercedes-Benz,2017,34950,135800,Diesel,SUV,Automată
Land Rover,2016,19490,147000,Diesel,SUV,Automată
BMW,2019,26950,138000,Diesel,Berlină,Automată
Kia,2016,18250,183000,Diesel,Berlină,Automată
Mercedes-Benz,2016,25949,163000,Diesel,Berlină,Automată
BMW,2019,54949,73000,Diesel,SUV,Automată
Skoda,2019,13949,189300,Diesel,Berlină,Manuală
Dacia,2019,8449,97500,Diesel,Berlină,Manuală
Mazda,2015,13990,199000,Diesel,SUV,Automată
Hyundai,2020,19990,121000,Benzină,SUV,Automată
Renault,2019,7999,80000,Benzină,Hatchback,Manuală
Opel,2011,4900,191300,Diesel,Berlină,Automată
Peugeot,2020,26950,25000,Benzină,SUV,Automată
Audi,2015,16500,106000,Benzină,Berlină,Automată
Renault,2019,11499,191000,Diesel,SUV,Automată
Volvo,2016,12490,176000,Diesel,Berlină,Automată
Volkswagen,2018,43950,150000,Diesel,SUV,Automată
Skoda,2021,19490,200000,Diesel,Berlină,Automată
Opel,2020,16949,76000,Diesel,Berlină,Automată
Mercedes-Benz,2017,34450,130000,Diesel,SUV,Automată
Dacia,2016,5749,239000,Diesel,Berlină,Manuală
Ford,2018,15950,104000,Diesel,Berlină,Automată
Land Rover,2011,13950,199000,Diesel,SUV,Automată
Volkswagen,2020,17448,145093,Diesel,Hatchback,Automată
Audi,2016,16990,198000,Benzină,Berlină,Automată
Opel,2017,14448,144000,Diesel,Berlină,Manuală
Hyundai,2019,11448,80000,Benzină,Hatchback,Manuală
Ford,2018,7749,125000,Benzină,Hatchback,Manuală
Mercedes-Benz,2019,24999,114000,Diesel,SUV,Automată
Renault,2017,13449,207000,Diesel,Monovolum,Manuală
Skoda,2019,20949,218000,Diesel,Berlină,Automată
Skoda,2019,12849,150000,Diesel,Berlină,Manuală
Skoda,2019,13449,138000,Benzină,Berlină,Automată
Dacia,2020,8989,104000,Diesel,Berlină,Manuală
Dacia,2020,11489,120000,Diesel,Monovolum,Manuală
BMW,2018,42449,160000,Hibrid,Berlină,Automată
BMW,2012,12950,174000,Diesel,SUV,Automată
Mazda,2018,17949,194000,Benzină,SUV,Automată
